ID,Embedding
Chaunograptus,"[ 1.3401678  -2.6185253  -1.5131514   2.5271423  -1.7407024   2.096157
  2.4941258   1.7633955   0.7971376   0.5435353   1.4201      2.4719794
 -2.6534784  -2.1394455  -2.0274298  -0.43376645]"
Dendrograptus,"[-0.93906146 -1.1861752  -1.7821676   0.52308697  0.9224268   1.7303126
 -0.61725533 -1.222312    1.7235761   2.0318081   0.26990324 -0.0963659
  0.89023197 -3.099603   -0.46359503 -0.43888977]"
Acanthograptus,"[ 1.4754927  -0.42849407 -2.1053765  -2.3773963  -1.1502695  -0.29909605
  0.984572    1.9872413  -1.979403    1.6342751   1.7372556   1.7366736
 -0.9975693  -2.4429162   0.35458362  1.844864  ]"
Hallograptus,"[-0.48311165 -1.7361597   0.15654211 -0.2964653   0.49344757  0.829175
 -0.3771851   1.7606598  -0.761543   -0.01494976  0.43470415 -1.3354951
  0.11744454  1.9279221  -2.1882715  -2.2607057 ]"
Staurograptus,"[-0.11189393 -1.2737944  -1.2378472  -3.1270382  -1.9999692  -1.1902413
 -2.3850238   1.7092142  -0.347463    2.450025    0.37974608  0.04217459
  2.0955708   0.77976406 -1.9563915  -1.6805494 ]"
Dictyonema,"[ 0.9821993   0.81015223  0.6828148   0.05143278 -0.31885058  0.6502658
 -1.1666147   1.0998656   2.5869708  -0.31400758 -0.6005944   1.9662251
  1.1086869  -1.0984979   0.30019513  1.5478718 ]"
Dendroidea,"[ 0.40475336  2.0610676  -1.9361935   0.8034303  -1.7339383  -0.9583772
 -1.3587786   0.56258786  2.2238867  -0.7218913  -2.102589    0.2341381
  0.96506095  0.21756794  1.9660122  -0.31792024]"
Rhabdinopora flabelliformis,"[-0.7083215  -2.0696797   0.8400813  -0.2020798   0.33067244  0.41978937
 -0.5667932   1.2592454  -1.603627    0.4009123   0.45931908 -0.92836
  0.19983868  2.045573   -1.9379348  -2.068335  ]"
Didymograptus,"[-0.10958293 -2.362948   -0.3924686  -1.0901057   1.3936218   2.494551
 -1.6029104   1.6199414  -1.3725486   0.7617036   1.3268667  -0.00979889
  1.106997    0.14111783 -0.46681052  0.04417275]"
Bryograptus,"[-2.0568826  -0.6198414   0.1681605  -2.454578   -1.6461415  -1.3669509
 -1.4051639  -0.15812871 -1.3355927   2.3747804   1.7977614   0.6320778
  1.7020273   1.2436277  -2.4079137  -0.3965339 ]"
Callograptus,"[-1.2192253  -1.2627848  -2.807279    1.6747761  -1.458978    2.13424
 -2.5199893  -0.46032113  2.1067214   1.7376132   0.6478603   1.7328304
 -0.11366075  0.19254693 -0.561327    2.135324  ]"
Clonograptus,"[-2.1633906  -0.7410151   0.35306075 -2.2967117  -1.5507677  -1.0696954
 -1.1970226  -0.17413323 -1.2843335   2.3536572   1.6820906   0.8711156
  1.8481224   1.5170889  -2.5433521  -0.3080622 ]"
Mastigograptus,"[ 0.58038837  0.28570879  1.9580851  -0.8858368   0.30069384 -1.2234722
  0.6714034  -1.7397339  -0.8506028  -1.0045353  -1.189375   -0.9858411
 -0.73243475 -0.05711085  1.6239445  -0.44512996]"
Ptilograptus,"[ 0.15572487 -0.07660042  0.8877208   0.9088129   1.4899508  -0.58132565
  0.64245784 -1.5140711  -1.48394    -0.5463373   2.370083    0.0840844
  0.6787815   1.5146805   0.8494364  -1.4354993 ]"
