ID,Label,Age,Embedding,color,lx,ly
0.0,Akidograptus ascensus,"Rhuddanian, Llandovery (early Silurian)","(0.589463, 0.73706913, 1.5295382, -2.7118158, -1.0500823, 2.2342634, 0.853025, 4.8257227, -0.061695315, -2.1222825, 3.054558, 0.123822935, -0.6239172, 0.6822639, 0.41171166, -1.8747747)",#D0EBDF,-9.242264392619742,-8.624529000330446
1.0,Amplexograptus confertus,Darriwilian (Middle Ordovician),"(-0.52990466, -0.20524985, -2.9268289, 2.11339, 1.3489765, -1.2860136, 0.10200335, 0.25670272, 1.4297085, 1.4357145, -0.57061195, -0.3324183, 1.9667133, 0.6182662, -0.9794578, 1.4279133)",#66CBBB,6.558303030919589,0.5132096613665023
2.0,Amplexograptus acusiformis,Darriwilian (Middle Ordovician)-Sandbian (Late Ordovician),"(0.00016550455, -0.37260967, -1.5166342, 1.3729302, 0.44455224, -0.8002446, 0.2983944, -0.79185236, 0.4486122, 0.9940902, -0.80622315, 0.28900766, 0.98238075, 0.8239321, -0.20114277, 0.8335603)",#66CBBB,5.751346775991601,2.261345252621799
3.0,Amplexograptus disjunctus yangtzensis,"Katian, Late Ordovician","(-0.38102847, 0.38390753, 1.7486871, 0.80454624, -1.7718676, 0.7267433, -0.45655128, -3.1564934, -1.9723387, 0.39795017, -1.921966, 0.36576545, -1.6521457, 0.14011128, 1.7301865, -0.7338198)",#66CBBB,1.8675245373288714,8.463920834373676
4.0,Amplexograptus fusiformis,Darriwilian (Middle Ordovician)-Sandbian (Late Ordovician),"(-0.057729308, -0.30421838, -1.5082631, 1.3835876, 0.41919813, -0.7660957, 0.24594595, -0.7747557, 0.41346723, 0.976144, -0.83409476, 0.24661587, 0.95176727, 0.76041585, -0.1477733, 0.8263043)",#66CBBB,5.733497624811131,2.2933547206534346
5.0,Amplexograptus cf maxwelli,"Sandbian, Late Ordovician","(-1.6527025, 0.79449576, -0.66890895, 2.0676696, -0.22070678, -0.14309043, -0.9538698, -1.4115355, -0.27689925, 1.2263435, -1.59401, -0.9071748, 0.12848024, -0.32131398, 0.34165293, 0.2993235)",#66CBBB,4.223388423432288,4.904355228965343
6.0,Amplexograptus orientalis,"Hirnantian, Late Ordovician","(0.60979223, 0.7178922, 1.545994, -2.7465749, -1.0304308, 2.2134538, 0.8761077, 4.7828317, -0.059998948, -2.098214, 3.0489712, 0.1409882, -0.5973344, 0.6614533, 0.43269712, -1.8536416)",#66CBBB,-9.276936570169614,-8.653203158442501
7.0,Amplexograptus suni,"Katian, Late Ordovician","(-0.39362046, 0.39337382, 1.7340431, 0.81793344, -1.7588973, 0.71353865, -0.44578916, -3.1421657, -1.9589319, 0.41430905, -1.9022558, 0.35330796, -1.6376171, 0.14899534, 1.7170521, -0.7211578)",#66CBBB,2.293328139565472,8.61693849899543
8.0,Appendispinograptus venustus,"Katian, Late Ordovician","(-0.39327312, 0.40261132, 1.7142731, 0.8295994, -1.7411553, 0.70549387, -0.44851634, -3.140254, -1.9397534, 0.42699987, -1.9045532, 0.3558895, -1.6198465, 0.13829842, 1.703739, -0.71090543)",#66CBBB,2.2773791563990615,8.300966871931585
9.0,Cardiograptus amplus,"Dapingian, Middle Ordovician","(0.662616, -1.0827878, -1.8643173, 0.7009197, 1.7746454, -1.7617629, 1.0857711, 1.0758855, 1.9009018, 1.1187376, 0.38332987, 0.3302343, 2.6979885, 1.449139, -1.3286004, 1.7426687)",#66CBBB,6.5209905463246765,-0.7241203114180754
