source,target,weight
378029,378278,1
378029,378374,2
378029,419633,1
378029,395120,1
378029,393795,1
378278,378374,1
378278,378100,1
378278,378659,1
378278,419633,1
378278,378023,1
378278,395120,1
378278,393795,2
378278,378077,1
378278,378082,1
378278,378665,1
378278,426744,1
378278,84005,1
378278,437859,1
378278,438006,1
378278,438002,1
378278,378649,1
378278,84010,1
378278,438001,1
378278,350662,1
378278,378648,1
378278,378655,1
378278,378664,1
378278,393794,1
378278,378275,1
378278,421819,1
378278,393839,1
378278,394797,1
378278,393846,1
378278,437683,1
378278,393847,1
378278,437689,1
378278,426742,1
378278,437693,1
378278,437687,1
378147,364798,1
378147,378105,1
378147,373300,1
378147,426744,1
378147,438006,1
395116,419849,1
395116,378069,1
395116,350619,1
395116,350774,1
419849,350619,1
419849,350774,1
419849,330404,1
316364,350671,3
316364,319698,4
316364,316365,2
316364,378067,3
316364,306272,1
316364,84636,1
316364,350608,1
316364,419855,1
316364,350660,1
316364,306251,2
316364,378659,1
316364,378105,1
316364,332240,1
316364,431640,1
316364,365887,3
316364,378069,1
316364,350735,1
316364,378050,1
316364,378259,1
316364,306329,1
316364,350628,1
316364,378063,2
316364,380636,1
316364,380640,3
316364,351230,5
316364,365888,5
316364,378156,1
316364,306270,1
316364,306374,1
316364,350664,2
316364,350827,1
316364,350604,2
316364,350679,1
316364,306370,1
316364,380632,4
316364,350619,1
316364,350755,1
316364,350615,1
316364,350655,1
316364,348640,1
316364,378665,1
316364,378035,3
316364,350778,1
316364,378663,1
316364,350603,1
316364,437859,1
316364,438006,1
316364,350729,1
316364,350823,1
316364,381432,1
316364,378658,1
316364,350662,1
316364,378071,1
316364,306366,1
316364,350672,1
316364,378040,2
350671,319698,3
350671,316365,1
350671,378067,3
350671,306272,1
350671,428787,1
350671,84636,1
350671,350608,1
350671,419855,1
350671,350660,1
350671,378659,1
350671,378105,1
350671,332240,1
350671,350706,2
350671,350735,3
350671,378050,3
350671,378259,2
350671,306329,2
350671,350628,1
350671,378063,1
350671,380640,1
350671,306270,1
350671,306374,1
350671,350664,1
350671,350827,1
350671,350604,1
350671,306370,1
350671,380632,1
350671,350619,1
350671,350755,1
350671,350615,1
350671,350655,1
350671,348640,1
350671,378665,1
350671,378035,2
350671,350778,1
350671,378663,1
350671,350603,1
350671,437859,1
350671,438006,1
350671,350729,1
350671,350823,1
350671,381432,1
350671,378658,1
350671,350662,1
350671,378071,1
350671,306366,1
350671,350672,1
350671,378040,1
350671,428795,1
319698,316365,2
319698,378067,5
319698,306272,2
319698,84636,1
319698,350608,1
319698,419855,1
319698,350660,1
319698,306251,4
319698,378659,1
319698,378105,1
319698,332240,1
319698,365887,3
319698,350735,1
319698,378050,1
319698,378259,1
319698,306329,1
319698,350628,6
319698,378063,3
319698,380636,1
319698,380640,2
319698,351230,2
319698,365888,2
319698,306270,2
319698,306374,1
319698,350664,1
319698,350827,1
319698,350604,1
319698,306370,1
319698,380632,1
319698,350619,1
319698,350755,1
319698,350615,1
319698,350655,1
319698,348640,1
319698,378665,1
319698,378035,5
319698,350778,1
319698,378663,1
319698,350603,1
319698,437859,1
319698,438006,1
319698,350729,1
319698,350823,1
319698,350634,1
319698,381432,1
319698,378144,1
319698,378658,1
319698,350662,1
319698,378071,1
319698,306366,1
319698,350672,2
319698,378040,1
316365,378067,3
316365,306272,1
316365,306251,5
316365,365887,1
316365,378069,1
316365,350706,1
316365,350628,3
316365,378063,1
316365,351230,1
316365,365888,1
316365,306270,1
316365,350664,1
316365,350604,2
316365,350679,1
316365,306370,1
316365,380632,2
316365,350764,1
316365,350755,1
316365,350615,1
316365,378035,1
316365,369619,1
316365,378042,1
316365,328032,1
316365,378056,1
316365,378144,1
378067,306272,3
378067,306251,2
378067,365887,1
378067,378069,1
378067,350628,3
378067,378063,3
378067,380636,1
378067,380640,1
378067,351230,1
378067,365888,1
378067,306270,2
378067,350664,1
378067,350604,1
378067,350679,1
378067,380632,1
378067,378035,4
378067,378144,1
378067,378040,1
306272,428787,1
306272,306251,2
306272,365887,1
306272,350628,2
306272,378063,2
306272,380636,1
306272,380640,1
306272,351230,1
306272,365888,1
306272,306270,1
306272,378035,1
306272,378144,1
428787,306270,3
428787,428795,1
382927,419633,1
382927,431640,1
382927,350706,1
382927,378213,1
382927,378156,1
382927,350619,1
382927,381432,1
378374,378100,3
378374,378661,1
378374,84636,1
378374,419855,1
378374,350617,1
378374,378659,1
378374,378162,1
378374,332240,1
378374,395120,1
378374,393795,1
378374,306374,1
378374,84005,4
378374,437859,1
378374,438006,1
378374,84004,1
378374,378656,2
378374,350691,1
378374,378652,1
378374,434764,1
378374,378071,1
378374,421819,1
378374,394797,3
378374,394803,1
378374,421712,1
378374,394805,1
378100,378659,1
378100,419633,1
378100,378023,1
378100,393795,1
378100,378077,1
378100,378082,1
378100,378665,1
378100,426744,1
378100,84005,4
378100,437859,1
378100,438006,1
378100,378656,1
378100,438002,1
378100,378649,1
378100,84010,1
378100,438001,1
378100,350662,1
378100,378648,1
378100,378655,1
378100,378664,1
378100,393794,1
378100,378275,1
378100,421819,2
378100,393839,1
378100,394797,5
378100,393846,1
378100,437683,1
378100,393847,1
378100,437689,1
378100,426742,1
378100,437693,1
378100,437687,1
378100,394803,1
378100,421712,1
378100,394805,1
378661,84636,1
378661,350608,1
378661,306362,1
378661,350617,3
378661,378659,7
378661,378105,1
378661,378162,3
378661,419633,1
378661,332240,2
378661,350587,1
378661,350700,1
378661,378077,3
378661,350628,1
378661,350655,1
378661,378082,2
378661,378665,2
378661,426744,3
378661,84005,1
378661,378663,2
378661,350603,1
378661,437859,3
378661,438006,3
378661,84004,1
378661,378656,2
378661,350691,2
378661,84639,1
378661,438002,1
378661,378649,1
378661,419630,1
378661,84010,1
378661,378652,3
378661,434764,2
378661,378658,1
378661,317891,2
378661,378183,1
378661,330501,1
378661,330499,3
378661,364801,1
378661,378647,1
378661,378648,1
378661,378651,1
378661,378655,1
378661,378657,1
378661,378664,1
378661,378667,1
378661,437683,1
378661,437689,1
378661,437693,2
378661,437687,2
378661,84607,1
378661,378122,1
378661,437691,1
378661,437792,1
84636,350608,6
84636,306362,1
84636,419855,5
84636,350660,2
84636,350617,1
84636,378659,2
84636,378105,1
84636,378162,1
84636,332240,2
84636,350700,1
84636,378077,1
84636,350735,1
84636,378050,1
84636,378259,1
84636,306329,1
84636,350628,1
84636,380640,2
84636,351230,1
84636,431637,1
84636,306374,5
84636,350664,1
84636,350827,5
84636,350604,1
84636,306370,1
84636,380632,1
84636,350619,1
84636,350755,1
84636,350615,1
84636,350655,4
84636,348640,6
84636,378665,2
84636,350778,1
84636,378663,1
84636,350603,1
84636,437859,2
84636,438006,2
84636,84639,2
84636,378652,1
84636,350729,1
84636,84634,1
84636,350823,1
84636,350690,1
84636,350582,1
84636,381432,1
84636,378658,1
84636,350662,1
84636,378071,2
84636,306366,1
84636,350672,1
84636,84631,1
350608,306362,1
350608,419855,5
350608,350660,7
350608,364798,1
350608,350617,1
350608,378659,1
350608,378105,2
350608,378162,2
350608,378023,1
350608,332240,3
350608,378077,1
350608,350706,1
350608,350735,2
350608,378050,1
350608,378259,1
350608,306329,1
350608,350628,1
350608,380640,2
350608,351230,1
350608,431637,1
350608,306374,2
350608,350664,1
350608,350827,8
350608,350604,1
350608,306370,1
350608,380632,1
350608,350619,2
350608,350755,1
350608,350615,1
350608,350655,5
350608,348640,7
350608,378665,1
350608,350778,1
350608,426744,1
350608,84606,3
350608,378663,2
350608,350603,1
350608,437859,1
350608,438006,3
350608,84639,4
350608,350681,1
350608,350729,2
350608,350693,2
350608,84608,3
350608,84630,3
350608,84634,3
350608,350823,3
350608,350690,1
350608,84601,2
350608,84605,2
350608,84604,1
350608,378205,1
