id,species,gps,genus,family,age,color
378029,Rhabdinopora flabelliformis,"(-4.15,52.933333999999995) (-65.349998,-22.033333) (-62.216667,-17.616667) (-68.0,-29.0) (-112.145279,41.923611) (-57.866668999999995,49.833332) (10.511111,59.763057999999994) (15.200277999999999,60.983334) (27.215,59.441113) (28.02,59.41083100000001) (-2.4266669999999997,51.704166) (-2.444444,51.712776) (-2.445,51.720554)",,,"Tremadoc,Blackhillsian,Canadian,Tremadocian,Ordovician,Pakerort",
378278,Anisograptus matanensis,"(-137.0,68.166664) (-68.0,-29.0) (-64.70416999999999,48.787498) (-135.666672,65.88333100000001)",,,"Arenig,Tremadoc,Gasconadian",
378147,Didymograptus (Didymograptus) artus,"(-110.402222,40.163334000000006) (-6.0,41.0) (-118.086174,36.959606) (-116.25,39.200001) (-7.0,41.0) (-2.05,40.933334)",,,"Whiterockian,Oretanian,Blackhillsian",
395116,Desmograptus cancellatus,"(-92.42778,43.613609000000004) (-81.0,45.5)",,,"Richmondian,Edenian",
419849,Rectograptus peosta,"(-92.42778,43.613609000000004) (-87.087502,45.791668)",,,"Richmondian,Maysvillian",
316364,Climacograptus scalaris,"(36.21389,30.293333) (14.7,55.099998) (-63.0,49.5) (-3.0,29.0) (-11.683333,26.733334000000003) (-9.0,28.5) (-7.5,27.5) (99.0,25.0) (85.966667,28.15) (-141.21499599999999,64.964996) (-114.183334,43.849998) (-133.566666,55.633331000000005) (43.599998,26.9) (21.65,43.799999) (21.883333,43.900002) (21.866667,43.916668) (14.980278,58.52833199999999)",,,"Aeronian,Rhuddanian,Alexandrian,Llandovery,Ashgillian",
350671,Paraclimacograptus innotatus,"(36.21389,30.293333) (-3.516667,52.133331) (-114.256386,41.504166) (-114.269722,43.836109) (-68.666664,-30.299999) (-58.0,-25.0) (-57.266666,-25.383333) (-114.183334,43.849998) (3.266667,43.5) (-133.566666,55.633331000000005) (-65.663612,-23.443610999999997)",,,"Aeronian,Rhuddanian,Caradocian,Ashgill,Telychian,Llandovery,Eastonian,Silurian",
319698,Glyptograptus tamariscus,"(136.383331,49.400002) (14.7,55.099998) (149.0,-33.0) (-11.683333,26.733334000000003) (108.11666899999999,28.266665999999997) (119.550003,30.583332000000002) (79.033333,40.450001) (111.33333600000002,30.766665999999997) (103.666664,25.616667) (101.050003,37.950001) (-3.433333,52.200001) (-114.183334,43.849998) (3.266667,43.5) (-133.566666,55.633331000000005) (-133.300003,55.516666) (-133.616669,55.5) (147.149994,63.966667) (104.10028100000001,67.365829) (104.09722099999999,67.339996)",,,"Rhuddanian,Llandovery,Aeronian,Ashgillian",
316365,Normalograptus normalis,"(136.383331,49.400002) (-3.05,54.383331000000005) (-64.349998,49.816666) (-62.25,49.416668) (-60.349998,46.883331) (-63.0,49.5) (-63.616668999999995,49.466667) (-62.0,49.0) (-68.666664,-30.299999) (-65.833336,48.666668) (-133.5,65.349998) (146.366669,-42.616669) (85.966667,28.15) (99.033333,23.9) (108.23333000000001,27.5) (108.0,35.0) (-64.0,49.0) (-3.433333,52.200001) (147.949997,-33.333332) (146.5,-42.629166) (29.341666999999998,40.983334)",,,"Rhuddanian,Hirnantian,Alexandrian,Ashgill,Llandovery,Wufeng,Bolindian",
378067,Atavograptus atavus,"(-3.516667,52.133331) (14.7,55.099998) (-63.616668999999995,49.466667) (-63.0,49.5) (-3.433333,52.200001) (3.266667,43.5) (-133.566666,55.633331000000005) (-133.616669,55.5)",,,"Rhuddanian,Aeronian,Alexandrian,Llandovery",
