Phylum,Class,Order,Suborder,Infraorder,Family,Genus,names_from_specimens_lables,specimens_Serial_No,fig_name,Locality,Longitude,Latitude,Horizon,color,age_from,age_to,Age,Epoch,Era,Subera,type,id,age mean value,geoLongitude,geoLatitude
Hemichordata,Pterobranchia,Graptoloidea,"Glossograptina Jaanusson, 1960",,"Isograptidae Harris, 1933",Cardiograptus,Cardiograptus amplus,9728,9728Cardiograptus_amplus.jpg,"Huangnigang Village in Jiangshan City, Zhejiang Province",118.629,28.77,Ningkuo Formation,#9FDBCE,470.0,467.3,Dapingian,Middle,Paleozoic,Ordovician,,9,469,128.59,5.63
Hemichordata,Pterobranchia,Graptoloidea,"Sinograptina Mu, 1957",,"Sigmagraptidae Cooper & Fortey, 1982",Jishougraptus,Jishougraptus mui,104474,104474Jishougraptus_mui.jpg,"Shanyanzhai Village in Jishou City, Hunan Province",109.761,28.327,Qiaotingzi Formation,#7ED6C4,470.0,458.4,Dapingian-Darriwilian,Middle,Paleozoic,Ordovician,,77,464,132.05,12.65
Hemichordata,Pterobranchia,Graptoloidea,"Axonophora Frech, 1897","Diplograptina Lapworth, 1880",,Levisograptus,Glyptograptus dentatus,106521,106521Glyptograptus_dentatus.jpg,"Hangwula in Alashan League, Inner Mongolia",105.628,38.757,Woboer Formation,#7ED6C4,470.0,458.4,Dapingian-Darriwilian,Middle,Paleozoic,Ordovician,,64,464,121.17,-22.24
Hemichordata,Pterobranchia,Graptoloidea,"Axonophora Frech, 1897","Diplograptina Lapworth, 1880",,Levisograptus,Glyptograptus dentatus,106520,106520Glyptograptus_dentatus.jpg,"Hangwula in Alashan League, Inner Mongolia",105.628,38.757,Woboer Formation,#7ED6C4,470.0,458.4,Dapingian-Darriwilian,Middle,Paleozoic,Ordovician,,64,464,121.17,-22.24
Hemichordata,Pterobranchia,Graptoloidea,"Axonophora Frech, 1897","Diplograptina Lapworth, 1880",,Levisograptus,Glyptograptus dentatus,76939,76939Glyptograptus_dentatus.jpg,"Xinchang Village in Taishan City, Guangdong Province",112.531,21.966,Xiahuangkeng Formation,#7ED6C4,470.0,458.4,Dapingian-Darriwilian,Middle,Paleozoic,Ordovician,,64,464,125.11,13.69
Hemichordata,Pterobranchia,Graptoloidea,"Axonophora Frech, 1897","Diplograptina Lapworth, 1880",,Levisograptus,Glyptograptus dentatus,76938,76938Glyptograptus_dentatus.jpg,"Xinchang Village in Taishan City, Guangdong Province",112.531,21.966,Xiahuangkeng Formation,#7ED6C4,470.0,458.4,Dapingian-Darriwilian,Middle,Paleozoic,Ordovician,,64,464,125.11,13.69
Hemichordata,Pterobranchia,Graptoloidea,"Axonophora Frech, 1897","Diplograptina Lapworth, 1880",,Levisograptus,Glyptograptus dentatus,76937,76937Glyptograptus_dentatus.jpg,"Xinchang Village in Taishan City, Guangdong Province",112.531,21.966,Xiahuangkeng Formation,#7ED6C4,470.0,458.4,Dapingian-Darriwilian,Middle,Paleozoic,Ordovician,,64,464,125.11,13.69
Hemichordata,Pterobranchia,Graptoloidea,"Axonophora Frech, 1897","Diplograptina Lapworth, 1880",,Levisograptus,Glyptograptus dentatus,76936,76936Glyptograptus_dentatus.jpg,"Xinchang Village in Taishan City, Guangdong Province",112.531,21.966,Xiahuangkeng Formation,#7ED6C4,470.0,458.4,Dapingian-Darriwilian,Middle,Paleozoic,Ordovician,,64,464,125.11,13.69
Hemichordata,Pterobranchia,Graptoloidea,"Axonophora Frech, 1897","Diplograptina Lapworth, 1880",,Levisograptus,Glyptograptus austrodentatus,56509,56509Glyptograptus_austrodentatus.jpg,"Jiangjunling in Hulo Town, Ningguo City, Anhui Province",118.786,30.351,Ningkuo Formation,#7ED6C4,470.0,458.4,Dapingian-Darriwilian,Middle,Paleozoic,Ordovician,,63,464,129.94,4.8
Hemichordata,Pterobranchia,Graptoloidea,"Axonophora Frech, 1897","Diplograptina Lapworth, 1880",,Levisograptus,Glyptograptus austrodentatus,63697,63697Glyptograptus_austrodentatus.jpg,"Shengping Village in Xing'an County, Guilin City, Guangxi Province",110.681,25.616,Huangai Formation,#7ED6C4,470.0,458.4,Dapingian-Darriwilian,Middle,Paleozoic,Ordovician,,63,464,129.23,13.35
Hemichordata,Pterobranchia,Graptoloidea,"Dichograptina Lapworth, 1873",,"Phyllograptidae Lapworth, 1873",Pseudotrigonograptus,Trigonograptus ensiformis,9699,9699Trigonograptus_ensiformis.jpg,Jiangshan County and Changshan County in Zhejiang Province,118.628,28.746,Ningkuo Formation,#7ED6C4,470.0,458.4,Dapingian-Darriwilian,Middle,Paleozoic,Ordovician,,111,464,128.57,5.65
Hemichordata,Pterobranchia,Graptoloidea,"Dichograptina Lapworth, 1873",,"Phyllograptidae Lapworth, 1873",Pseudotrigonograptus,Trigonograptus ensiformis,9700,9700Trigonograptus_ensiformis.jpg,Jiangshan County and Changshan County in Zhejiang Province,118.628,28.746,Ningkuo Formation,#7ED6C4,470.0,458.4,Dapingian-Darriwilian,Middle,Paleozoic,Ordovician,,111,464,128.57,5.65
Hemichordata,Pterobranchia,Graptoloidea,"Dichograptina Lapworth, 1873",,"Phyllograptidae Lapworth, 1873",Pseudotrigonograptus,Trigonograptus ensiformis,9701,9701Trigonograptus_ensiformis.jpg,Jiangshan County and Changshan County in Zhejiang Province,118.628,28.746,Ningkuo Formation,#7ED6C4,470.0,458.4,Dapingian-Darriwilian,Middle,Paleozoic,Ordovician,,111,464,128.57,5.65
Hemichordata,Pterobranchia,Graptoloidea,"Dichograptina Lapworth, 1873",,"Phyllograptidae Lapworth, 1873",Pseudotrigonograptus,Trigonograptus ensiformis,9702,9702Trigonograptus_ensiformis.jpg,Jiangshan County and Changshan County in Zhejiang Province,118.628,28.746,Ningkuo Formation,#7ED6C4,470.0,458.4,Dapingian-Darriwilian,Middle,Paleozoic,Ordovician,,111,464,128.57,5.65
Hemichordata,Pterobranchia,Graptoloidea,"Dichograptina Lapworth, 1873",,"Phyllograptidae Lapworth, 1873",Pseudotrigonograptus,Trigonograptus ensiformis,9703,9703Trigonograptus_ensiformis.jpg,"Huangnigang in Jiangshan County, Zhejiang Province",118.629,28.77,Ningkuo Formation,#7ED6C4,470.0,458.4,Dapingian-Darriwilian,Middle,Paleozoic,Ordovician,,111,464,128.59,5.63
Hemichordata,Pterobranchia,Graptoloidea,"Dichograptina Lapworth, 1873",,"Phyllograptidae Lapworth, 1873",Pseudotrigonograptus,Trigonograptus ensiformis,9704,9704Trigonograptus_ensiformis.jpg,Jiangshan County and Changshan County in Zhejiang Province,118.628,28.746,Ningkuo Formation,#7ED6C4,470.0,458.4,Dapingian-Darriwilian,Middle,Paleozoic,Ordovician,,111,464,128.57,5.65
Hemichordata,Pterobranchia,Graptoloidea,"Axonophora Frech, 1897","Neograptina Storch, Mitchell, Finney & Melchin, 2011",,Undulograptus,Pseudoclimacograptus formosus,9771,9771Pseudoclimacograptus_formosus.jpg,"Huangnigang Village in Jiangshan City, Zhejiang Province",118.629,28.77,Ningkuo Formation,#7ED6C4,470.0,458.4,Dapingian-Darriwilian,Middle,Paleozoic,Ordovician,,97,464,128.59,5.63
Hemichordata,Pterobranchia,Graptoloidea,"Axonophora Frech, 1897","Neograptina Storch, Mitchell, Finney & Melchin, 2011",,Undulograptus,Pseudoclimacograptus formosus,9772,9772Pseudoclimacograptus_formosus.jpg,"Huangnigang Village in Jiangshan City, Zhejiang Province",118.629,28.77,Ningkuo Formation,#7ED6C4,470.0,458.4,Dapingian-Darriwilian,Middle,Paleozoic,Ordovician,,97,464,128.59,5.63
Hemichordata,Pterobranchia,Graptoloidea,"Axonophora Frech, 1897","Neograptina Storch, Mitchell, Finney & Melchin, 2011",,Undulograptus,Pseudoclimacograptus formosus,9773,9773Pseudoclimacograptus_formosus.jpg,"Huangnigang Village in Jiangshan City, Zhejiang Province",118.629,28.77,Ningkuo Formation,#7ED6C4,470.0,458.4,Dapingian-Darriwilian,Middle,Paleozoic,Ordovician,,97,464,128.59,5.63
Hemichordata,Pterobranchia,Graptoloidea,"Axonophora Frech, 1897","Neograptina Storch, Mitchell, Finney & Melchin, 2011",,Undulograptus,Pseudoclimacograptus formosus,9774,9774Pseudoclimacograptus_formosus.jpg,"Huangnigang Village in Jiangshan City, Zhejiang Province",118.629,28.77,Ningkuo Formation,#7ED6C4,470.0,458.4,Dapingian-Darriwilian,Middle,Paleozoic,Ordovician,,97,464,128.59,5.63
Hemichordata,Pterobranchia,Graptoloidea,"Axonophora Frech, 1897","Diplograptina Lapworth, 1880",,Levisograptus,Glyptograptus austrodentatus,63693,63693Glyptograptus_austrodentatus.jpg,"Shengping Village in Xing'an County, Guilin City, Guangxi Province",110.681,25.616,Huangai Formation,#7ED6C4,470.0,458.4,Dapingian-Darriwilian,Middle,Paleozoic,Ordovician,,63,464,129.23,13.35
Hemichordata,Pterobranchia,Graptoloidea,"Axonophora Frech, 1897","Diplograptina Lapworth, 1880",,Levisograptus,Glyptograptus austrodentatus,63692,63692Glyptograptus_austrodentatus.jpg,"Shengping Village in Xing'an County, Guilin City, Guangxi Province",110.681,25.616,Huangai Formation,#7ED6C4,470.0,458.4,Dapingian-Darriwilian,Middle,Paleozoic,Ordovician,,63,464,129.23,13.35
Hemichordata,Pterobranchia,Graptoloidea,"Axonophora Frech, 1897","Diplograptina Lapworth, 1880",,Levisograptus,Glyptograptus austrodentatus,63691,63691Glyptograptus_austrodentatus.jpg,"Shengping Village in Xing'an County, Guilin City, Guangxi Province",110.681,25.616,Huangai Formation,#7ED6C4,470.0,458.4,Dapingian-Darriwilian,Middle,Paleozoic,Ordovician,,63,464,129.23,13.35
Hemichordata,Pterobranchia,Graptoloidea,"Axonophora Frech, 1897","Diplograptina Lapworth, 1880",,Levisograptus,Glyptograptus austrodentatus,63690,63690Glyptograptus_austrodentatus.jpg,"Shengping Village in Xing'an County, Guilin City, Guangxi Province",110.681,25.616,Huangai Formation,#7ED6C4,470.0,458.4,Dapingian-Darriwilian,Middle,Paleozoic,Ordovician,,63,464,129.23,13.35
Hemichordata,Pterobranchia,Graptoloidea,"Sinograptina Mu, 1957",,"Sigmagraptidae Cooper & Fortey, 1982",Jishougraptus,Jishougraptus mui,104481,104481Jishougraptus_mui.jpg,"Shanyanzhai Village in Jishou City, Hunan Province",109.761,28.327,Qiaotingzi Formation,#7ED6C4,470.0,458.4,Dapingian-Darriwilian,Middle,Paleozoic,Ordovician,,77,464,132.05,12.65
Hemichordata,Pterobranchia,Graptoloidea,"Sinograptina Mu, 1957",,"Sigmagraptidae Cooper & Fortey, 1982",Jishougraptus,Jishougraptus mui,104471,104471Jishougraptus_mui.jpg,"Shanyanzhai Village in Jishou City, Hunan Province",109.761,28.327,Qiaotingzi Formation,#7ED6C4,470.0,458.4,Dapingian-Darriwilian,Middle,Paleozoic,Ordovician,,77,464,132.05,12.65
Hemichordata,Pterobranchia,Graptoloidea,"Sinograptina Mu, 1957",,"Sigmagraptidae Cooper & Fortey, 1982",Jishougraptus,Jishougraptus mui,104472,104472Jishougraptus_mui.jpg,"Shanyanzhai Village in Jishou City, Hunan Province",109.761,28.327,Qiaotingzi Formation,#7ED6C4,470.0,458.4,Dapingian-Darriwilian,Middle,Paleozoic,Ordovician,,77,464,132.05,12.65
Hemichordata,Pterobranchia,Graptoloidea,"Axonophora Frech, 1897","Diplograptina Lapworth, 1880",,Levisograptus,Glyptograptus dentatus,106522,106522Glyptograptus_dentatus.jpg,"Hangwula in Alashan League, Inner Mongolia",105.628,38.757,Woboer Formation,#7ED6C4,470.0,458.4,Dapingian-Darriwilian,Middle,Paleozoic,Ordovician,,64,464,121.17,-22.24
Hemichordata,Pterobranchia,Graptoloidea,"Axonophora Frech, 1897","Diplograptina Lapworth, 1880",,Levisograptus,Glyptograptus dentatus,9741,9741Glyptograptus_dentatus.jpg,"Huangnigang Village in Jiangshan City, Zhejiang Province",118.629,28.77,Ningkuo Formation,#7ED6C4,470.0,458.4,Dapingian-Darriwilian,Middle,Paleozoic,Ordovician,,64,464,128.59,5.63
Hemichordata,Pterobranchia,Graptoloidea,"Axonophora Frech, 1897","Diplograptina Lapworth, 1880",,Levisograptus,Glyptograptus dentatus,9742,9742Glyptograptus_dentatus.jpg,"Huangnigang Village in Jiangshan City, Zhejiang Province",118.629,28.77,Ningkuo Formation,#7ED6C4,470.0,458.4,Dapingian-Darriwilian,Middle,Paleozoic,Ordovician,,64,464,128.59,5.63
Hemichordata,Pterobranchia,Graptoloidea,"Glossograptina Jaanusson, 1960",,"Isograptidae Harris, 1933",Cardiograptus,Cardiograptus amplus,53958,53958Cardiograptus_amplus.jpg,"Longyou County, Zhejiang Province",118.631,28.744,Ningkuo Formation,#9FDBCE,470.0,467.3,Dapingian,Middle,Paleozoic,Ordovician,,9,469,128.56,5.64
Hemichordata,Pterobranchia,Graptoloidea,"Glossograptina Jaanusson, 1960",,"Isograptidae Harris, 1933",Cardiograptus,Cardiograptus amplus,112378,112378Cardiograptus_amplus.jpg,"Zhangmuqu Village in Chongyi County, Jiangxi Province",114.222,25.757,Zhangmuqu Formation,#9FDBCE,470.0,467.3,Dapingian,Middle,Paleozoic,Ordovician,,9,469,127.74,10.5
Hemichordata,Pterobranchia,Graptoloidea,"Glossograptina Jaanusson, 1960",,"Isograptidae Harris, 1933",Cardiograptus,Cardiograptus amplus,112377,112377Cardiograptus_amplus.jpg,"Zhangmuqu Village in Chongyi County, Jiangxi Province",114.222,25.757,Zhangmuqu Formation,#9FDBCE,470.0,467.3,Dapingian,Middle,Paleozoic,Ordovician,,9,469,127.74,10.5
Hemichordata,Pterobranchia,Graptoloidea,"Glossograptina Jaanusson, 1960",,"Isograptidae Harris, 1933",Cardiograptus,Cardiograptus amplus,76923,76923Cardiograptus_amplus.jpg,"Xinchang Village in Taishan City, Guangdong Province",112.531,21.966,Huangkeng Formation,#9FDBCE,470.0,467.3,Dapingian,Middle,Paleozoic,Ordovician,,9,469,125.11,13.69
Hemichordata,Pterobranchia,Graptoloidea,"Glossograptina Jaanusson, 1960",,"Isograptidae Harris, 1933",Cardiograptus,Cardiograptus amplus,56507,56507Cardiograptus_amplus.jpg,"Huangnigang Village in Jiangshan City, Zhejiang Province",118.629,28.77,Ningkuo Formation,#9FDBCE,470.0,467.3,Dapingian,Middle,Paleozoic,Ordovician,,9,469,128.59,5.63
Hemichordata,Pterobranchia,Graptoloidea,"Glossograptina Jaanusson, 1960",,"Isograptidae Harris, 1933",Cardiograptus,Cardiograptus amplus,9727,9727Cardiograptus_amplus.jpg,"Huangnigang Village in Jiangshan City, Zhejiang Province",118.629,28.77,Ningkuo Formation,#9FDBCE,470.0,467.3,Dapingian,Middle,Paleozoic,Ordovician,,9,469,128.59,5.63
Hemichordata,Pterobranchia,Graptoloidea,"Glossograptina Jaanusson, 1960",,"Isograptidae Harris, 1933",Cardiograptus,Cardiograptus amplus,9726,9726Cardiograptus_amplus.jpg,"Huangnigang Village in Jiangshan City, Zhejiang Province",118.629,28.77,Ningkuo Formation,#9FDBCE,470.0,467.3,Dapingian,Middle,Paleozoic,Ordovician,,9,469,128.59,5.63
Hemichordata,Pterobranchia,Graptoloidea,"Glossograptina Jaanusson, 1960",,"Isograptidae Harris, 1933",Cardiograptus,Cardiograptus amplus,9725,9725Cardiograptus_amplus.jpg,"Huangnigang Village in Jiangshan City, Zhejiang Province",118.629,28.77,Ningkuo Formation,#9FDBCE,470.0,467.3,Dapingian,Middle,Paleozoic,Ordovician,,9,469,128.59,5.63
Hemichordata,Pterobranchia,Graptoloidea,"Glossograptina Jaanusson, 1960",,"Isograptidae Harris, 1933",Cardiograptus,Cardiograptus amplus,9724,9724Cardiograptus_amplus.jpg,"Huangnigang Village in Jiangshan City, Zhejiang Province",118.629,28.77,Ningkuo Formation,#9FDBCE,470.0,467.3,Dapingian,Middle,Paleozoic,Ordovician,,9,469,128.59,5.63
